,Unnamed: 0,FILENAME,NOBS,BANDS,RA,DEC,BRIGHTEST,RISE_z,RISE_i,RISE_r,MAX_r-i,MIN_r-i,MAX_i-z,MIN_i-z,MAX_SNR_z,MAX_SNR_i,MAX_SNR_r,CUT_1,CUT_2,CUT_3,CCD,MAG_r,MAG_i,MAG_z,EXPNUM_1,EXPNUM_2,EXPNUM_3,EXPNUM_4
0,0,gw170817_ir2/data/GW170817_DIFFIMG_ir2.DAT,2,ir,197.450374,-23.381494,i,0.0,0.0,0.0,-731.1999999999997,-731.1999999999997,0.0,0.0,0.0,243.95670857870442,247.75570009291687,True,True,False,36,17.897743981748683,17.788875426620336,99.9,668961,668962,0,0
0,0,gw170817_iz4/data/GW170817_DIFFIMG_iz4.DAT,4,iz,197.450374,-23.381494,i,-153.5,-2659.100000000001,0.0,0.0,0.0,903.1000000000003,-1602.5,208.051370708817,243.95670857870442,0.0,True,True,True,36,99.9,17.788875426620336,17.582722391660866,668439,668440,668960,668961
0,0,gw170817_iz2b/data/GW170817_DIFFIMG_iz2b.DAT,2,iz,197.450374,-23.381494,z,0.0,0.0,0.0,0.0,0.0,-1602.5,-1602.5,208.051370708817,243.95670857870442,0.0,True,True,False,36,99.9,17.788875426620336,17.582722391660866,668960,668961,0,0
0,0,gw170817_iz2a/data/GW170817_DIFFIMG_iz2a.DAT,2,iz,197.450374,-23.381494,i,0.0,0.0,0.0,0.0,0.0,903.1000000000003,903.1000000000003,139.98335636693264,200.74284380833853,0.0,True,True,False,36,99.9,17.465485181648518,17.56488426894103,668439,668440,0,0
0,0,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000007.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,38.18000000000001,38.18000000000001,88.0153977758768,80.92627158189455,0.0,True,True,False,-1,99.9,21.149645752911123,21.27626394514462,0,0,0,0
1,1,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000014.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,9.5887,9.5887,0.0,0.0,0.0,-1.6577788531333173,0.8357557251908396,True,True,False,-1,26.406773338357375,27.5,99.9,0,0,0,0
2,2,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000018.DAT,4,ir,77.390969,6.614503,i,0.0,-6.5266,-0.13082,-1.33299,-7.72877,0.0,0.0,0.0,2.0247902364607167,0.06489632291954657,True,True,False,-1,29.958356637944487,27.106433638048873,99.9,0,0,0,0
3,3,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000020.DAT,4,ir,77.390969,6.614503,r,0.0,-4.7890000000000015,2.539999999999999,7.3489999999999975,0.019999999999996017,0.0,0.0,0.0,8.83113924050633,10.278067526763657,True,True,False,-1,23.566573405226816,23.803800208410486,99.9,0,0,0,0
4,4,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000046.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-2.796000000000003,-2.796000000000003,7.425402613187481,5.300269409747734,0.0,True,True,False,-1,99.9,24.161806687420178,24.02988027792891,0,0,0,0
5,5,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000060.DAT,4,iz,77.002256,5.893483,i,17.990000000000013,-0.37000000000000455,0.0,0.0,0.0,79.99000000000002,61.63,110.60419580419581,110.086642599278,0.0,True,True,True,-1,99.9,20.850114472368766,21.00738087871734,0,0,0,0
6,6,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000063.DAT,4,ir,77.390969,6.614503,i,0.0,-0.5300000000000296,-2.6500000000000057,-79.75000000000003,-81.87,0.0,0.0,0.0,62.90495968727097,47.53142551484354,True,True,False,-1,21.891970670638102,21.475420700534983,99.9,0,0,0,0
7,7,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000067.DAT,4,iz,77.002256,5.893483,i,-1.7510000000000003,-4.4979,0.0,0.0,0.0,4.182499999999999,1.4356,1.833231614281355,2.639896373056995,0.0,True,True,False,-1,99.9,25.61181869686173,25.927368405679026,0,0,0,0
8,8,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000083.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-37.003,-37.003,23.832833133253303,10.353515625,0.0,True,True,False,-1,99.9,23.431380521954075,22.750298337496037,0,0,0,0
9,9,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000103.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,1.5369000000000002,1.5369000000000002,0.8847328244274809,1.0887306653572304,0.0,True,True,False,-1,99.9,25.88291283603899,26.34494138841092,0,0,0,0
10,10,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000123.DAT,4,ir,77.390969,6.614503,i,0.0,4.30997,6.5565,-1.386,-3.6325300000000005,0.0,0.0,0.0,1.3269328585961344,1.058425414364641,True,True,False,-1,26.04157792526824,25.70634385565627,99.9,0,0,0,0
11,11,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000144.DAT,4,ir,77.390969,6.614503,i,0.0,-2.2332,-7.4164400000000015,-3.9259,-9.10914,0.0,0.0,0.0,2.7290978398983485,1.881032578685809,True,True,True,-1,27.5,25.175712083069076,99.9,0,0,0,0
12,12,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000161.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-1.2546,-1.2546,0.0,0.0,0.0,2.3283401787871467,2.5563891430314123,True,True,False,-1,25.191579047240324,25.040145352540282,99.9,0,0,0,0
13,13,RM_DES+LIGO_KN_SIGNAL/data/DES-0001_SN00000163.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,17.492000000000004,17.492000000000004,13.719383126700935,15.302336903602727,0.0,True,True,False,-1,99.9,23.004029514263873,23.35807805183496,0,0,0,0
